        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +2.746552191299e+00,        +5.548644145132e+00
 2.40002500e+00,        +7.071067811865e+00,        +2.750652949451e+00,        +5.551853245132e+00
 2.40005000e+00,        +7.071067811865e+00,        +2.754755018970e+00,        +5.555058469497e+00
 2.40007500e+00,        +7.071067811865e+00,        +2.758858400148e+00,        +5.558259822284e+00
 2.40010000e+00,        +7.071067811865e+00,        +2.762963093288e+00,        +5.561457307538e+00
 2.40012500e+00,        +7.071067811865e+00,        +2.767069098704e+00,        +5.564650929295e+00
 2.40015000e+00,        +7.071067811865e+00,        +2.771176416720e+00,        +5.567840691579e+00
 2.40017500e+00,        +7.071067811865e+00,        +2.775285047670e+00,        +5.571026598402e+00
 2.40020000e+00,        +7.071067811865e+00,        +2.779394991898e+00,        +5.574208653765e+00
 2.40022500e+00,        +7.071067811865e+00,        +2.783506249760e+00,        +5.577386861658e+00
 2.40025000e+00,        +7.071067811865e+00,        +2.787618821620e+00,        +5.580561226060e+00
 2.40027500e+00,        +7.071067811865e+00,        +2.791732707854e+00,        +5.583731750938e+00
 2.40030000e+00,        +7.071067811865e+00,        +2.795847908847e+00,        +5.586898440250e+00
 2.40032500e+00,        +7.071067811865e+00,        +2.799964424996e+00,        +5.590061297941e+00
 2.40035000e+00,        +7.071067811865e+00,        +2.804082256706e+00,        +5.593220327944e+00
 2.40037500e+00,        +7.071067811865e+00,        +2.808201404395e+00,        +5.596375534183e+00
 2.40040000e+00,        +7.071067811865e+00,        +2.812321868489e+00,        +5.599526920569e+00
 2.40042500e+00,        +7.071067811865e+00,        +2.816443649426e+00,        +5.602674491004e+00
 2.40045000e+00,        +7.071067811865e+00,        +2.820566747652e+00,        +5.605818249378e+00
 2.40047500e+00,        +7.071067811865e+00,        +2.824691163625e+00,        +5.608958199568e+00
 2.40050000e+00,        +7.071067811865e+00,        +2.828816897813e+00,        +5.612094345443e+00
 2.40052500e+00,        +7.071067811865e+00,        +2.832943950693e+00,        +5.615226690860e+00
 2.40055000e+00,        +7.071067811865e+00,        +2.837072322754e+00,        +5.618355239663e+00
 2.40057500e+00,        +7.071067811865e+00,        +2.841202014495e+00,        +5.621479995688e+00
 2.40060000e+00,        +7.071067811865e+00,        +2.845333026424e+00,        +5.624600962758e+00
 2.40062500e+00,        +7.071067811865e+00,        +2.849465359059e+00,        +5.627718144685e+00
 2.40065000e+00,        +7.071067811865e+00,        +2.853599012930e+00,        +5.630831545271e+00
 2.40067500e+00,        +7.071067811865e+00,        +2.857733988576e+00,        +5.633941168307e+00
 2.40070000e+00,        +7.071067811865e+00,        +2.861870286546e+00,        +5.637047017573e+00
 2.40072500e+00,        +7.071067811865e+00,        +2.866007907400e+00,        +5.640149096836e+00
 2.40075000e+00,        +7.071067811865e+00,        +2.870146851707e+00,        +5.643247409856e+00
 2.40077500e+00,        +7.071067811865e+00,        +2.874287120046e+00,        +5.646341960377e+00
 2.40080000e+00,        +7.071067811865e+00,        +2.878428713009e+00,        +5.649432752138e+00
 2.40082500e+00,        +7.071067811865e+00,        +2.882571631195e+00,        +5.652519788862e+00
 2.40085000e+00,        +7.071067811865e+00,        +2.886715875213e+00,        +5.655603074264e+00
 2.40087500e+00,        +7.071067811865e+00,        +2.890861445686e+00,        +5.658682612047e+00
 2.40090000e+00,        +7.071067811865e+00,        +2.895008343242e+00,        +5.661758405904e+00
 2.40092500e+00,        +7.071067811865e+00,        +2.899156568523e+00,        +5.664830459515e+00
 2.40095000e+00,        +7.071067811865e+00,        +2.903306122179e+00,        +5.667898776553e+00
 2.40097500e+00,        +7.071067811865e+00,        +2.907457004871e+00,        +5.670963360676e+00
 2.40100000e+00,        +7.071067811865e+00,        +2.911609217269e+00,        +5.674024215534e+00
 2.40102500e+00,        +7.071067811865e+00,        +2.915762760056e+00,        +5.677081344766e+00
 2.40105000e+00,        +7.071067811865e+00,        +2.919917633922e+00,        +5.680134751998e+00
 2.40107500e+00,        +7.071067811865e+00,        +2.924073839567e+00,        +5.683184440848e+00
 2.40110000e+00,        +7.071067811865e+00,        +2.928231377705e+00,        +5.686230414921e+00
 2.40112500e+00,        +7.071067811865e+00,        +2.932390249054e+00,        +5.689272677812e+00
 2.40115000e+00,        +7.071067811865e+00,        +2.936550454348e+00,        +5.692311233107e+00
 2.40117500e+00,        +7.071067811865e+00,        +2.940711994328e+00,        +5.695346084378e+00
 2.40120000e+00,        +7.071067811865e+00,        +2.944874869744e+00,        +5.698377235189e+00
 2.40122500e+00,        +7.071067811865e+00,        +2.949039081359e+00,        +5.701404689093e+00
 2.40125000e+00,        +7.071067811865e+00,        +2.953204629945e+00,        +5.704428449629e+00
 2.40127500e+00,        +7.071067811865e+00,        +2.957371516283e+00,        +5.707448520331e+00
 2.40130000e+00,        +7.071067811865e+00,        +2.961539741164e+00,        +5.710464904717e+00
 2.40132500e+00,        +7.071067811865e+00,        +2.965709305392e+00,        +5.713477606297e+00
 2.40135000e+00,        +7.071067811865e+00,        +2.969880209777e+00,        +5.716486628571e+00
 2.40137500e+00,        +7.071067811865e+00,        +2.974052455141e+00,        +5.719491975025e+00
 2.40140000e+00,        +7.071067811865e+00,        +2.978226042317e+00,        +5.722493649139e+00
 2.40142500e+00,        +7.071067811865e+00,        +2.982400972146e+00,        +5.725491654378e+00
 2.40145000e+00,        +7.071067811865e+00,        +2.986577245481e+00,        +5.728485994199e+00
 2.40147500e+00,        +7.071067811865e+00,        +2.990754863183e+00,        +5.731476672048e+00
 2.40150000e+00,        +7.071067811865e+00,        +2.994933826125e+00,        +5.734463691360e+00
 2.40152500e+00,        +7.071067811865e+00,        +2.999114135189e+00,        +5.737447055560e+00
 2.40155000e+00,        +7.071067811865e+00,        +3.003295791267e+00,        +5.740426768060e+00
 2.40157500e+00,        +7.071067811865e+00,        +3.007478795260e+00,        +5.743402832265e+00
 2.40160000e+00,        +7.071067811865e+00,        +3.011663148082e+00,        +5.746375251568e+00
 2.40162500e+00,        +7.071067811865e+00,        +3.015848850654e+00,        +5.749344029349e+00
 2.40165000e+00,        +7.071067811865e+00,        +3.020035903909e+00,        +5.752309168983e+00
 2.40167500e+00,        +7.071067811865e+00,        +3.024224308789e+00,        +5.755270673828e+00
 2.40170000e+00,        +7.071067811865e+00,        +3.028414066246e+00,        +5.758228547236e+00
 2.40172500e+00,        +7.071067811865e+00,        +3.032605177242e+00,        +5.761182792547e+00
 2.40175000e+00,        +7.071067811865e+00,        +3.036797642750e+00,        +5.764133413091e+00
 2.40177500e+00,        +7.071067811865e+00,        +3.040991463752e+00,        +5.767080412186e+00
 2.40180000e+00,        +7.071067811865e+00,        +3.045186641241e+00,        +5.770023793141e+00
 2.40182500e+00,        +7.071067811865e+00,        +3.049383176218e+00,        +5.772963559254e+00
 2.40185000e+00,        +7.071067811865e+00,        +3.053581069696e+00,        +5.775899713813e+00
 2.40187500e+00,        +7.071067811865e+00,        +3.057780322697e+00,        +5.778832260095e+00
 2.40190000e+00,        +7.071067811865e+00,        +3.061980936254e+00,        +5.781761201366e+00
 2.40192500e+00,        +7.071067811865e+00,        +3.066182911409e+00,        +5.784686540882e+00
 2.40195000e+00,        +7.071067811865e+00,        +3.070386249215e+00,        +5.787608281890e+00
 2.40197500e+00,        +7.071067811865e+00,        +3.074590950733e+00,        +5.790526427625e+00
 2.40200000e+00,        +7.071067811865e+00,        +3.078797017036e+00,        +5.793440981311e+00
 2.40202500e+00,        +7.071067811865e+00,        +3.083004449207e+00,        +5.796351946163e+00
 2.40205000e+00,        +7.071067811865e+00,        +3.087213248338e+00,        +5.799259325385e+00
 2.40207500e+00,        +7.071067811865e+00,        +3.091423415531e+00,        +5.802163122171e+00
 2.40210000e+00,        +7.071067811865e+00,        +3.095634951898e+00,        +5.805063339704e+00
 2.40212500e+00,        +7.071067811865e+00,        +3.099847858563e+00,        +5.807959981156e+00
 2.40215000e+00,        +7.071067811865e+00,        +3.104062136658e+00,        +5.810853049690e+00
 2.40217500e+00,        +7.071067811865e+00,        +3.108277787324e+00,        +5.813742548459e+00
 2.40220000e+00,        +7.071067811865e+00,        +3.112494811716e+00,        +5.816628480603e+00
 2.40222500e+00,        +7.071067811865e+00,        +3.116713210994e+00,        +5.819510849255e+00
